category,scientific_name,common_names,conservation_status,lifespan_years,mass_kg
Vascular Plant,Plantago virginica,"Pale-Seeded Plantain, Virginia Plantain",,4.9,0.305
Vascular Plant,Veronica agrestis,"Field Speedwell, Green Field Speedwell",,21.0,15.276
Vascular Plant,Veronica anagallis-aquatica,Brook-Pimpernell,In Recovery,50.0,10.089
Vascular Plant,Veronica arvensis,Corn Speedwell,Species of Concern,1.3,5.749
Vascular Plant,Veronica hederifolia,Ivy-Leaved Speedwell,Species of Concern,14.2,0.296
Vascular Plant,Veronica officinalis,"Common Speedwell, Gypsy-Weed",Species of Concern,8.0,0.841
Vascular Plant,Veronica peregrina,Purslane Speedwell,,8.6,0.151
Vascular Plant,Veronica persica,"Perscians' Speedwell, Speedwell",,1.6,0.135
Vascular Plant,Veronica serpyllifolia,Thyme-Leaved Speedwell,Species of Concern,3.7,0.683
Vascular Plant,Veronicastrum virginicum,"Culver's Root, Culver's-Root",,4.3,0.045
Vascular Plant,Buddleja davidii,Orange Eye Butterflybush,Endangered,50.0,3.813
Vascular Plant,Scrophularia marilandica,"Carpenter's Square Figwort, Figwort",,10.8,0.749
Vascular Plant,Verbascum blattaria,"Moth Mullein, White Moth Mullein",,20.8,3.688
Vascular Plant,Verbascum thapsus,"Common Mullein, Great Mullein",,5.9,1.151
Vascular Plant,Verbascum virgatum,Wand Mullein,Endangered,2.9,0.288
Vascular Plant,Polypremum procumbens,Juniper-Leaf,Species of Concern,4.2,0.86
Vascular Plant,Phyla lanceolata,Lanceleaf Fogfruit,,2.8,0.342
Vascular Plant,Verbena brasiliensis,"Blue Vervain, Brazillian Vervain",Threatened,1.6,8.483
Vascular Plant,Verbena simplex,"Narrow-Leaved Vervain, Vervain",,1.3,0.046
Vascular Plant,Verbena urticifolia,White Vervain,,3.8,0.183
Vascular Plant,Calycanthus floridus,"Carolina-Allspice, Eastern Sweetshrub",,17.0,29.728
Vascular Plant,Calycanthus floridus var. floridus,Eastern Sweetshrub,Species of Concern,3.5,0.181
Vascular Plant,Calycanthus floridus var. glaucus,Sweetshrub,,5.3,0.069
Vascular Plant,Lindera benzoin,Spicebush,Endangered,8.0,1.701
Vascular Plant,Sassafras albidum,Sassafras,,3.9,1.099
Vascular Plant,Uvularia grandiflora,Large-Flowered Bellwort,,1.3,1.091
Vascular Plant,Uvularia perfoliata,Perfoliate Bellwort,Species of Concern,4.8,0.91
Vascular Plant,Uvularia puberula,Mountain Bellwort,Species of Concern,3.7,3.498
Vascular Plant,Uvularia sessilifolia,"Sessile-Leaf Bellwort, Wild Oats",,18.0,3.509
Vascular Plant,Clintonia borealis,"Bluebead Lily, Clinton Lily",Species of Concern,17.2,0.52
Vascular Plant,Clintonia umbellulata,"Speckled Wood Lily, White Clintonia",Endangered,11.7,0.115
Vascular Plant,Erythronium americanum,"American Troutlily, Yellow Trout-Lily",,17.7,4.337
Vascular Plant,Erythronium umbilicatum ssp. umbilicatum,Dimpled Troutlily,Species of Concern,17.2,26.837
Vascular Plant,Lilium canadense ssp. editorum,Canada Lily,Species of Concern,3.4,0.504
Vascular Plant,Lilium grayi,Gray's Lily,Species of Concern,1.6,0.081
Vascular Plant,Lilium lancifolium,Tiger Lily,,3.0,3.239
Vascular Plant,Lilium michauxii,Carolina Lily,,13.3,0.256
Vascular Plant,Lilium philadelphicum,"Philadelphia Wood Lily, Wood Lily",Species of Concern,1.3,0.009
Vascular Plant,Lilium superbum,Turk's Cap Lily,,3.3,0.781
Vascular Plant,Medeola virginiana,"Indian Cucumber, Indian Cucumber-Root",,2.0,0.149
Vascular Plant,Ornithogalum umbellatum,"Common Star-Of-Bethlehem, Star-Of-Bethlehem",,2.5,0.428
Vascular Plant,Prosartes lanuginosum,Yellow Mandarin,Species of Concern,7.5,1.59
Vascular Plant,Prosartes maculatum,Spotted Mandarin,Species of Concern,17.3,0.834
Vascular Plant,Streptopus amplexifolius var. amplexifolius,"American Twistedstalk, Claspleaf Twistedstalk",,6.7,3.504
Vascular Plant,Streptopus lanceolatus var. lanceolatus,Twistedstalk,Species of Concern,0.6,0.622
Vascular Plant,Streptopus lanceolatus var. roseus,Twistedstalk,Species of Concern,6.8,2.882
Vascular Plant,Streptopus roseus,"Rose Twisted-Stalk, Rosy Twisted-Stalk",Species of Concern,4.3,0.504
Vascular Plant,Amianthium muscitoxicum,Fly Poison,,7.6,2.309
Vascular Plant,Chamaelirium luteum,"Devil's-Bit, Fairy Wand",,4.9,1.019
Vascular Plant,Melanthium latifolium,"Bunch-Flower, Hybrid Bunchflower",In Recovery,4.0,0.176
Vascular Plant,Melanthium parviflorum,"Small-Flowered False Hellebore, Small-Flowered False-Helleborne",In Recovery,12.4,11.735
Vascular Plant,Stenanthium gramineum,"Eastern Featherbells, Featherbells",Threatened,4.1,0.284
Vascular Plant,Trillium catesbaei,Catesby's Trillium,,14.2,8.206
Vascular Plant,Trillium cuneatum,"Little Sweet Trillium, Sessile-Flowered Maroon Trillium",,5.0,0.47
Vascular Plant,Trillium erectum,"Ill-Scent Trillium, Wake Robin",,12.1,8.3
Vascular Plant,Trillium flexipes,Jennison's White Trillium,In Recovery,17.7,0.678
Vascular Plant,Trillium grandiflorum,"Large-Flower Trillium, White Trillium",Species of Concern,7.8,0.379
Vascular Plant,Trillium luteum,Yellow Trillium,Species of Concern,12.2,1.288
Vascular Plant,Trillium pusillum var. pusillum,Dwarf Wakerobin,Species of Concern,14.6,0.348
Vascular Plant,Trillium rugelii,Southern Nodding Trillium,Species of Concern,15.6,1.521
Vascular Plant,Trillium simile,Sweet White Trillium,,4.9,0.029
Vascular Plant,Trillium undulatum,Painted Trillium,,0.7,0.036
Vascular Plant,Trillium vaseyi,Vasey's Trillium,,3.6,0.045
Vascular Plant,Veratrum viride,"American False-Helleborne, False Hellebore",Species of Concern,9.1,6.014
Vascular Plant,Xerophyllum asphodeloides,Eastern Turkeybeard,Species of Concern,50.0,22.26
Vascular Plant,Smilax biltmoreana,Carrion Flower,Species of Concern,12.7,0.625
Vascular Plant,Smilax bona-nox,"Catbrier, Saw Greenbrier",In Recovery,3.0,0.159
Vascular Plant,Smilax glauca,"Glaucous Catbrier, Glaucous-Leaved Greenbrier",,8.6,0.555
Vascular Plant,Smilax herbacea,"Carrion Flower, Smooth Herbaceous Greenbrier",Species of Concern,14.2,2.355
Vascular Plant,Smilax hugeri,"Huger's Carrion Flower, Huger's Carrion-Flower",Species of Concern,4.9,0.231
Vascular Plant,Smilax pulverulenta,Downy Carrionflower,,2.7,0.656
Vascular Plant,Smilax rotundifolia,"Common Greenbrier, Greenbrier",,15.0,1.829
Vascular Plant,Smilax tamnoides,"Bristly Greenbrier, Hispid Greenbrier",In Recovery,6.6,1.522
Vascular Plant,Huperzia appalachiana,Fir Clubmoss,,8.5,0.581
Vascular Plant,Huperzia lucidula,"Shining Clubmoss, Shining Club-Moss",,5.8,8.954
Vascular Plant,Huperzia porophila,Rock Clubmoss,,0.6,0.003
Vascular Plant,Huperzia selago var. densa,Fir Clubmoss,,25.9,0.887
Vascular Plant,Huperzia selago var. selago,Fir Clubmoss,Species of Concern,1.5,0.051
Vascular Plant,Lycopodium annotinum,Stiff Clubmoss,Species of Concern,0.8,0.022
Vascular Plant,Lycopodium clavatum,"Running Clubmoss, Running Pine",,7.7,1.087
Vascular Plant,Lycopodium complanatum,Running-Pine,In Recovery,7.0,3.05
Vascular Plant,Lycopodium dendroideum,Tree Groundpine,,2.4,0.967
Vascular Plant,Lycopodium digitatum,Running-Pine,,11.8,5.031
Vascular Plant,Lycopodium hickeyi,Ground Pine,,4.2,10.861
Vascular Plant,Lycopodium obscurum,Ground Pine,,5.4,14.665
Vascular Plant,Lycopodium tristachyum,"Deep-Root Clubmoss, Ground Cedar",Threatened,50.0,17.278
Vascular Plant,Asimina triloba,"Pawpaw, Paw-Paw",Threatened,14.2,1.408
Vascular Plant,Liriodendron tulipifera,"Tulip Tree, Tuliptree, Yellow Poplar",Threatened,3.1,0.372
Vascular Plant,Magnolia acuminata,"Cucumber Magnolia, Cucumber-Tree",,3.1,0.055
Vascular Plant,Magnolia fraseri,Fraser Magnolia,Species of Concern,8.4,0.494
Vascular Plant,Magnolia grandiflora,"Large-Flower Magnolia, Southern Magnolia",,8.5,0.147
Vascular Plant,Magnolia macrophylla,"Bigleaf Magnolia, Big-Leaved Magnolia",,20.6,18.17
Vascular Plant,Magnolia tripetala,Umbrella Magnolia,,12.7,0.636
Vascular Plant,Acalypha gracilens,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",,1.0,0.481
Vascular Plant,Acalypha ostryifolia,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",Species of Concern,3.2,1.54
Vascular Plant,Acalypha rhomboidea,"Common Threeseed Mercury, Virginia Threeseed Mercury",Threatened,7.0,1.563
Vascular Plant,Acalypha virginica,"Virginia Copperleaf, Virginia Threeseed Mercury",Species of Concern,23.0,8.624
Vascular Plant,Chamaesyce nutans,Eyebane,,1.7,0.077
Vascular Plant,Croton glandulosus var. septentrionalis,Vente Conmigo,,8.4,0.458
Vascular Plant,Croton monanthogynus,Prairie Tea,,2.1,0.289
Vascular Plant,Euphorbia commutata,"Spurge, Wood Spurge",,2.0,0.066
Vascular Plant,Euphorbia corollata,"Flowering Spruge, Flowering Spurge",Threatened,10.1,0.187
Vascular Plant,Euphorbia cyparissias,Cypress Spurge,,13.0,0.418
Vascular Plant,Euphorbia dentata var. dentata,"Toothed Spurge, Toothedleaf Poinsettia",,1.8,0.375
Vascular Plant,Euphorbia lathyris,Moleplant,,1.5,0.105
Vascular Plant,Euphorbia marginata,Snow On The Mountain,Species of Concern,1.7,0.058
Vascular Plant,Euphorbia mercurialina,Mercury Spurge,,5.4,0.337
Vascular Plant,Euphorbia pubentissima,Dogbane-Leaved Spurge,Threatened,1.3,0.024
Vascular Plant,Euphorbia purpurea,Glade Spurge,Species of Concern,24.2,1.625
Vascular Plant,Ricinus communis,Castorbean,,8.5,0.562
Vascular Plant,Hypericum buckleii,Buckley's St. Johnswort,Threatened,3.4,0.043
Vascular Plant,Hypericum densiflorum,"Bushy St. John's-Wort, Shrubby St. John's-Wort",Species of Concern,1.5,0.4
Vascular Plant,Hypericum drummondii,Nits And Lice,,10.5,0.017
Vascular Plant,Hypericum gentianoides,"Orange-Grass St. John's-Wort, Pineweed",,0.6,0.664
Vascular Plant,Hypericum graveolens,Mountain St. John's-Wort,Species of Concern,29.0,5.354
Vascular Plant,Hypericum hypericoides,St. Andrews Cross,,4.2,0.051
Vascular Plant,Hypericum hypericoides ssp. hypericoides,St. Andrew's Cross,,4.3,0.39
Vascular Plant,Hypericum hypericoides ssp. multicaule,"A St. John's-Wort, Low St. Andrew's Cross",,16.7,0.501
Vascular Plant,Hypericum mitchellianum,"Blue Ridge St. John's-Wort, Mitchell's St.John's-Wort",Species of Concern,8.5,4.98
Vascular Plant,Hypericum mutilum,"Dwarf St. John's-Wort, Slender St. John's-Wort",Threatened,7.1,0.405
Vascular Plant,Hypericum perforatum,"A St. John's-Wort, Common St. John's-Wort",Species of Concern,5.0,0.198
Vascular Plant,Hypericum pseudomaculatum,False Spotted St. Johnswort,,50.0,0.211
Vascular Plant,Hypericum punctatum,"Common St. John's-Wort, Dotted St. John's-Wort",In Recovery,11.9,0.107
Vascular Plant,Hypericum virgatum,Sharpleaf St. Johnswort,,21.8,2.599
Vascular Plant,Linum intercursum,Sandplain Flax,,2.6,0.406
Vascular Plant,Linum medium var. texanum,Stiff Yellow Flax,Species of Concern,22.2,40.0
Vascular Plant,Linum striatum,"Ridged Yellow Flax, Yellow Flax",,2.7,0.903
Vascular Plant,Linum virginianum,Virginia Flax,,7.9,0.328
Vascular Plant,Passiflora incarnata,"Passion-Flower, May-Pop, Purple Passion-Flower",,2.6,0.053
Vascular Plant,Passiflora lutea,"Yellow Passionflower, Yellow Passion-Flower",Threatened,0.7,0.009
Vascular Plant,Phyllanthus caroliniensis,"Carolina Leaf-Flower, Phyllanthus",,2.3,0.044
Vascular Plant,Podostemum ceratophyllum,"Riverweed, Threadfoot",,3.2,1.867
Vascular Plant,Populus alba,"Silver Poplar, White Poplar",,9.3,0.908
Vascular Plant,Populus balsamifera ssp. balsamifera,Balm Of Gilead,,1.0,0.063
Vascular Plant,Populus deltoides,Eastern Cottonwood,,10.6,4.635
Vascular Plant,Populus grandidentata,"Big-Toothed Aspen, Large-Toothed Aspen",Species of Concern,8.5,0.772
Vascular Plant,Populus nigra,Lombardy Poplar,Species of Concern,6.1,0.615
Vascular Plant,Populus X canescens,Gray Poplar,Species of Concern,11.4,5.717
Vascular Plant,Populus X jackii,Jack's Poplar,Species of Concern,12.4,2.453
Vascular Plant,Salix alba,A Willow,,9.3,0.885
Vascular Plant,Salix babylonica,"A Willow, Weeping Willow",,1.2,0.041
Vascular Plant,Salix caprea,Goat Willow,In Recovery,1.9,0.004
Vascular Plant,Salix caroliniana,Carolina Willow,,12.2,0.175
Vascular Plant,Salix discolor,Pussy Willow,Species of Concern,8.6,0.318
Vascular Plant,Salix eriocephala,"Missouri River Willow, Missouri Willow",,3.3,0.103
Vascular Plant,Salix humilis,Prairie Willow,,9.6,0.844
Vascular Plant,Salix humilis var. humilis,Prairie Willow,,9.3,0.5
Vascular Plant,Salix humilis var. tristis,Dwarf Willow,Species of Concern,10.0,0.132
Vascular Plant,Salix nigra,"A Willow, Black Willow",Species of Concern,0.6,0.642
Vascular Plant,Salix sericea,Silky Willow,Species of Concern,1.6,0.452
Vascular Plant,Salix X pendulina,Pendulous Willow,,19.2,0.712
Vascular Plant,Hybanthus concolor,Green Violet,,0.8,0.165
Vascular Plant,Viola arvensis,Field Pansy,In Recovery,20.5,6.104
Vascular Plant,Viola bicolor,"Field Pansy, Wild Pansy",Species of Concern,4.0,0.489
Vascular Plant,Viola blanda,Sweet White Violet,Endangered,2.4,0.838
Vascular Plant,Viola blanda var. blanda,Sweet White Violet,,12.6,4.158
Vascular Plant,Viola blanda var. palustriformis,"Large-Leaf White Violet, Large-Leaved Violet",,8.2,0.756
Vascular Plant,Viola canadensis,Canadian White Violet,Endangered,50.0,8.395
Vascular Plant,Viola canadensis var. canadensis,Canadian Violet,Threatened,4.0,0.282
Vascular Plant,Viola canadensis var. corymbosa,Canadian Violet,,14.6,0.318
Vascular Plant,Viola conspersa,"American Bog Violet, Dog Violet",Species of Concern,10.1,0.703
Vascular Plant,Viola cucullata,Marsh Blue Violet,,1.6,0.176
Vascular Plant,Viola egglestonii,Glade Violet,Endangered,12.9,0.803
Vascular Plant,Viola hastata,"Halberd-Leaved Violet, Halberd-Leaved Yellow Violet",Endangered,9.6,0.382
Vascular Plant,Viola hirsutula,Southern Wood Violet,,5.3,0.621
Vascular Plant,Viola labradorica,Alpine Violet,,6.9,0.822
Vascular Plant,Viola lanceolata,"Lance-Leaf Violet, Lance-Leaved Violet",,1.0,0.03
Vascular Plant,Viola macloskeyi ssp. pallens,"Northern White Violet, Smooth White Violet",,2.0,0.122
Vascular Plant,Viola missouriensis,Missouri Violet,Threatened,12.3,0.536
Vascular Plant,Viola odorata,"English Violet, Sweet Violet",Species of Concern,5.3,0.807
Vascular Plant,Viola pedata,"Bird's Foot Violet, Bird's-Foot Violet",Species of Concern,2.9,0.093
Vascular Plant,Viola porterana,Stone's Violet,,16.8,9.282
Vascular Plant,Viola pubescens,Downy Yellow Violet,Endangered,4.3,0.038
Vascular Plant,Viola pubescens var. pubescens,Hairy Yellow Violet,Species of Concern,3.0,4.244
Vascular Plant,Viola pubescens var. scabriuscula,Downy Yellow Violet,,24.5,1.1
Vascular Plant,Viola rostrata,"Beaked Violet, Long-Spur Violet",Species of Concern,4.4,0.115
Vascular Plant,Viola rotundifolia,"Early Yellow Violet, Roundleaf Violet",,15.0,9.488
Vascular Plant,Viola sagittata,Arrow-Leaved Violet,Threatened,4.1,0.062
Vascular Plant,Viola sagittata var. ovata,Arrowleaf Violet,Species of Concern,13.0,0.366
Vascular Plant,Viola sagittata var. sagittata,Arrowleaf Violet,,22.0,2.412
Vascular Plant,Viola septemloba,Violet,Species of Concern,6.3,0.107
Vascular Plant,Viola septentrionalis,Northern Woodland Violet,Species of Concern,27.0,10.238
Vascular Plant,Viola sororia,Woolly Blue Violet,,16.9,0.238
Vascular Plant,Viola striata,"Pale Violet, Striped Violet",Threatened,15.6,0.896
Vascular Plant,Viola tripartita,"Oval-Leaved Violet, Three-Parted Violet",,6.0,2.445
Vascular Plant,Viola walteri,Violet,In Recovery,2.0,0.865
Vascular Plant,Viola X primulifolia,Primrose-Leaved Violet,In Recovery,43.9,4.485
Vascular Plant,Helianthemum bicknellii,"Bicknell's Frostweed, Plains Frostweed",Endangered,7.8,1.875
Vascular Plant,Helianthemum canadense,"Canada Frostweed, Frostweed",,1.3,0.036
Vascular Plant,Helianthemum propinquum,Low Frostweed,Endangered,2.8,5.515
Vascular Plant,Lechea racemulosa,"Illinois Pinweed, Pinweed",,2.8,0.027
Vascular Plant,Abutilon theophrasti,Velvetleaf,Species of Concern,12.9,4.975
Vascular Plant,Alcea rosea,Hollyhock,,3.1,3.222
Vascular Plant,Hibiscus moscheutos ssp. moscheutos,Crimsoneyed Rosemallow,,4.4,0.208
Vascular Plant,Hibiscus syriacus,"Rose-Of-Sharon, Rose-Of-Sharon, Shrubby Althea",,2.9,0.263
Vascular Plant,Malva moschata,Musk Mallow,,33.0,0.12
Vascular Plant,Malva neglecta,"Common Mallow, Dwarf Cheeseweed",,3.1,0.987
Vascular Plant,Malva sylvestris,"High Cheeseweed, High Mallow",,3.3,0.647
Vascular Plant,Sida hermaphrodita,Virginia Fanpetals,Species of Concern,4.4,1.06
Vascular Plant,Sida spinosa,Prickly Mallow,,42.4,8.377
Vascular Plant,Tilia americana,American Basswood,,10.1,12.462
Vascular Plant,Tilia americana var. americana,American Basswood,Species of Concern,2.1,0.377
Vascular Plant,Tilia americana var. heterophylla,White Basswood,,9.7,0.213
Vascular Plant,Dirca palustris,Eastern Leatherwood,,0.6,0.02
Vascular Plant,Ammannia coccinea,"Ammannia, Tooth-Cup",Species of Concern,6.2,0.258
Vascular Plant,Cuphea viscosissima,Clammy Cuphea,Species of Concern,50.0,2.181
Vascular Plant,Rotala ramosior,"Rotala, Toothcup",Species of Concern,27.1,9.283
Vascular Plant,Rhexia mariana,"Maryland Meadow Beauty, Pale Meadow Beauty",,4.8,0.169
Vascular Plant,Rhexia mariana var. mariana,Maryland Meadowbeauty,Threatened,8.9,0.203
Vascular Plant,Rhexia virginica,"Meadow Beauty, Virginia Meadow-Beauty",,26.9,0.374
Vascular Plant,Circaea alpina,"Small Enchanter's Nightshade, Smaller Enchanter's-Nightshade",Endangered,20.8,0.593
Vascular Plant,Circaea lutetiana ssp. canadensis,"Intermediate Enchanter's Nightshade, Larger Enchanter's-Nightshade",,5.2,0.172
Vascular Plant,Epilobium ciliatum ssp. ciliatum,Willow-Herb,,17.3,0.585
Vascular Plant,Epilobium coloratum,Willow-Herb,Endangered,2.0,0.223
Vascular Plant,Gaura biennis,Biennial Gaura,,11.7,0.722
Vascular Plant,Gaura filipes,Slenderstalk Beeblossom,Species of Concern,3.4,3.535
Vascular Plant,Ludwigia alternifolia,"Alternate-Leaved Seedbox, Bushy Seedbox",,4.2,0.916
Vascular Plant,Ludwigia decurrens,"Decurrent Seedbox, Primrose Willow",,0.5,0.18
Vascular Plant,Ludwigia grandiflora,Large-Flower Primrose-Willow,Endangered,7.9,1.01
Vascular Plant,Ludwigia palustris,Water Purslane,Endangered,3.1,0.432
Vascular Plant,Ludwigia peploides ssp. glabrescens,Floating Primrosewillow,Threatened,12.7,0.148
Vascular Plant,Ludwigia uruguayensis,Seedbox,Species of Concern,7.1,0.343
Vascular Plant,Oenothera biennis,"Common Evening-Primrose, Evening Primrose",Species of Concern,44.2,25.546
Vascular Plant,Oenothera fruticosa ssp. fruticosa,Sundrops,,3.2,1.838
Vascular Plant,Oenothera fruticosa ssp. glauca,Sundrops,Threatened,12.4,0.359
Vascular Plant,Oenothera laciniata,"Cut-Leaved Evening Primrose, Cut-Leaved Evening-Primrose",Species of Concern,50.0,5.679
Vascular Plant,Oenothera linifolia,Threadleaf Eveningprimrose,Species of Concern,9.5,0.141
Vascular Plant,Oenothera speciosa,"Showy Evening Primrose, White Evening-Primrose",Species of Concern,25.1,2.317
Vascular Plant,Oenothera triloba,Stemless Eveningprimrose,,8.6,0.447
Vascular Plant,Nuphar lutea ssp. advena,Yellow Water-Lily,Species of Concern,3.4,0.625
Vascular Plant,Nymphaea odorata,"American Water-Lily, White Water-Lily",,15.5,1.5
Vascular Plant,Botrychium biternatum,"Southern Grape Fern, Sparse-Lobe Grape-Fern",Species of Concern,0.6,0.091
Vascular Plant,Botrychium dissectum,"Cutleaf Grape-Fern, Cut-Leaved Grape Fern",,2.0,0.092
Vascular Plant,Botrychium jenmanii,Dixie Grapefern,,0.6,0.055
Vascular Plant,Botrychium lanceolatum var. angustisegmentum,Lanceleaf Grapefern,,3.4,0.785
Vascular Plant,Botrychium matricariifolium,"Daisy-Leaf Moonwort, Matricary Grapefern",Threatened,31.2,14.719
Vascular Plant,Botrychium oneidense,Blunt-Lobed Grape Fern,,37.8,12.345
Vascular Plant,Botrychium simplex,Least Moonwort,,9.2,9.725
Vascular Plant,Botrychium virginianum,Rattlesnake Fern,,9.4,2.041
Vascular Plant,Ophioglossum vulgatum,"Southern Adderstongue, Southern Adder's-Tongue",Species of Concern,0.5,0.027
Vascular Plant,Osmunda cinnamomea,Cinnamon Fern,,3.0,0.33
Vascular Plant,Osmunda claytoniana,Interrupted Fern,,1.9,0.225
Vascular Plant,Osmunda regalis var. spectabilis,Royal Fern,Species of Concern,2.2,0.182
Vascular Plant,Oxalis corniculata,Creeping Woodsorrel,Species of Concern,9.1,0.307
Vascular Plant,Oxalis dillenii,"Dillen's Woodsorrel, Yellow Sorrel",,2.0,0.372
Vascular Plant,Oxalis grandis,"Great Yellow Wood-Sorrel, Large Wood-Sorrel",,1.0,0.022
Vascular Plant,Oxalis montana,"White Wood-Sorrel, Wood-Sorrel",Species of Concern,1.4,1.434
Vascular Plant,Oxalis stricta,"Upright Yellow Wood-Sorrel, Yellow Wood-Sorrel",Species of Concern,2.3,0.206
Vascular Plant,Oxalis violacea,Violet Wood-Sorrel,,2.6,1.113
Vascular Plant,Juniperus chinensis,Chinese Juniper,,23.3,39.301
Vascular Plant,Juniperus virginiana,Red Cedar,,1.4,0.267
Vascular Plant,Platycladus orientalis,Oriental White Cedar,Threatened,1.3,0.006
Vascular Plant,Thuja occidentalis,Northern White Cedar,,4.3,0.438
Vascular Plant,Abies fraseri,Fraser Fir,Species of Concern,50.0,7.155
Vascular Plant,Picea abies,Norway Spruce,,31.6,13.331
Vascular Plant,Picea rubens,Red Spruce,,0.5,0.069
Vascular Plant,Pinus,Pine,Species of Concern,2.6,1.599
Vascular Plant,Pinus echinata,Short-Leaf Pine,Species of Concern,4.6,0.148
Vascular Plant,Pinus palustris,Longleaf Pine,Species of Concern,2.4,2.014
Vascular Plant,Pinus pungens,Table Mountain Pine,,2.1,30.43
Vascular Plant,Pinus rigida,Pitch Pine,,7.7,0.019
Vascular Plant,Pinus strobus,White Pine,In Recovery,13.2,2.107
Vascular Plant,Pinus taeda,Loblolly Pine,,12.6,2.159
Vascular Plant,Pinus virginiana,Virginia Or Scrub Pine,,6.7,2.314
Vascular Plant,Tsuga canadensis,Eastern Hemlock,,9.2,1.042
Vascular Plant,Aristolochia macrophylla,Dutchman's Pipe,,3.8,2.548
Vascular Plant,Aristolochia serpentaria,"Snakeroot, Virginia Snakeroot",,5.5,0.294
Vascular Plant,Asarum canadense,Wild Ginger,Species of Concern,3.0,4.682
Vascular Plant,Hexastylis arifolia,"Little Brown Jug, Little Brown Jugs",Species of Concern,18.5,0.116
Vascular Plant,Hexastylis heterophylla,Variableleaf Heartleaf,Endangered,2.1,2.815
Vascular Plant,Hexastylis shuttleworthii,"Large-Flowered Heartleaf, Spotted Little Brown Jugs",,14.1,0.628
Vascular Plant,Bulbostylis capillaris,"Bulbostylis, Dense-Tuft Hair-Sedge",,7.7,2.041
Vascular Plant,Carex,"Carex, Sedge, Sedge Species, Sedges",Threatened,3.7,0.509
Vascular Plant,Carex abscondita,Thicket Sedge,,13.9,3.868
Vascular Plant,Carex aestivalis,Summer Sedge,Endangered,11.0,0.722
Vascular Plant,Carex aggregata,Glomerate Sedge,Species of Concern,6.6,0.041
Vascular Plant,Carex albicans,Whitetinge Sedge,,17.2,8.44
Vascular Plant,Carex albicans var. albicans,Sedge,Species of Concern,1.5,0.222
Vascular Plant,Carex albicans var. australis,Sedge,,4.1,0.101
Vascular Plant,Carex albicans var. emmonsii,"Emmons Sedge, Sedge",,20.7,0.181
Vascular Plant,Carex albolutescens,"Greenish-White Sedge, Light-Colored Sedge",Species of Concern,47.0,4.096
Vascular Plant,Carex albursina,"A Sedge, Sedge",Endangered,3.5,0.01
Vascular Plant,Carex amphibola,Eastern Narrowleaf Sedge,Species of Concern,50.0,40.0
Vascular Plant,Carex amphibola var. rigida,"A Sedge, Rigid Sedge",,21.5,4.331
Vascular Plant,Carex amphibola var. turgida,Turgid Sedge,,19.2,4.332
Vascular Plant,Carex annectens,"A Sedge, Sedge",Species of Concern,3.8,0.617
Vascular Plant,Carex appalachica,Appalachian Sedge,,2.1,1.051
Vascular Plant,Carex atlantica,Prickly Bog Sedge,Species of Concern,8.7,1.652
Vascular Plant,Carex atlantica ssp. atlantica,Sedge,,4.2,1.321
Vascular Plant,Carex atlantica ssp. capillacea,Prickly Bog Sedge,,3.2,1.593
Vascular Plant,Carex austrocaroliniana,"A Sedge, South Carolina Sedge",,3.3,1.402
Vascular Plant,Carex baileyi,"Bailey Sedge, Bailey's Sedge",Species of Concern,48.6,0.455
Vascular Plant,Carex barrattii,Barratt's Sedge,Species of Concern,6.0,0.287
Vascular Plant,Carex biltmoreana,Biltmore Sedge,Species of Concern,7.2,0.245
Vascular Plant,Carex blanda,"Sedge, Woodland Sedge",,4.0,3.563
Vascular Plant,Carex brevior,"Brevior Sedge, Fescue Sedge, Shortbeak Sedge",,1.6,1.845
Vascular Plant,Carex bromoides,"A Sedge, Sedge",,0.5,0.006
Vascular Plant,Carex brunnescens ssp. brunnescens,Brownish Sedge,,32.4,0.884
Vascular Plant,Carex brunnescens ssp. sphaerostachya,"Brownish Sedge, Few Flowered Sedge",In Recovery,9.0,0.711
Vascular Plant,Carex caroliniana,"Carolina Sedge, Hirsute Sedge",In Recovery,10.0,0.639
Vascular Plant,Carex cephalophora,"Oval-Leaved Sedge, Sedge",,8.9,0.1
Vascular Plant,Carex cherokeensis,Cherokee Sedge,,7.0,2.782
Vascular Plant,Carex communis,"Common Sedge, Fibrous-Root Sedge",,37.2,2.22
Vascular Plant,Carex communis var. amplisquama,Dixie Sedge,Species of Concern,2.0,0.094
Vascular Plant,Carex communis var. communis,Fibrousroot Sedge,,26.9,1.416
Vascular Plant,Carex complanata,Blue Sedge,Species of Concern,4.7,0.096
Vascular Plant,Carex conjuncta,Soft Fox Sedge,,0.5,0.036
Vascular Plant,Carex corrugata,Prune-Fruit Sedge,Endangered,2.0,0.254
Vascular Plant,Carex crebriflora,Coastalplain Sedge,,2.0,8.054
Vascular Plant,Carex crinita var. crinita,Drooping Sedge,Threatened,30.5,9.018
Vascular Plant,Carex cristatella,"Sedge, Small Crested Sedge",,7.9,0.482
Vascular Plant,Carex cumberlandensis,Local Sedge,,1.2,3.163
Vascular Plant,Carex debilis,"White Edge Sedge, White-Edge Sedge",,11.4,1.38
Vascular Plant,Carex debilis var. debilis,White Edge Sedge,,2.4,0.21
Vascular Plant,Carex debilis var. interjecta,Necklace Sedge,,2.0,1.039
